timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,20,020 University Avenue Ramp,3,,Central,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,36,036 Observatory Drive Ramp,4,,Central,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,67,067 Linden Drive Ramp,23,,Central,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,7,007 Grainger Hall Garage,0,,East,FULL
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,29,029 N Park Street Ramp,15,,East,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,46,046 Lake & Johnson Ramp,23,,East,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,83,083 Fluno Center Garage,19,,East,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,17,017 Engineering Drive Ramp,29,,South,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,80,080 Union South Garage,6,,South,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,63,063 Children's Hospital Garage,45,,West,
2026-09-08T10:01:38-05:00,2026-09-08T10:00:00-05:00,76,076 University Bay Drive Ramp,0,,West,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,20,020 University Avenue Ramp,3,,Central,
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,36,036 Observatory Drive Ramp,0,,Central,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,67,067 Linden Drive Ramp,10,,Central,
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,7,007 Grainger Hall Garage,0,,East,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,29,029 N Park Street Ramp,18,,East,
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,83,083 Fluno Center Garage,16,,East,
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,17,017 Engineering Drive Ramp,25,,South,
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,63,063 Children's Hospital Garage,22,,West,
2026-09-08T13:30:06-05:00,2026-09-08T14:00:00-05:00,76,076 University Bay Drive Ramp,35,,West,
